Unnamed: 0,text,title,LLAMA2_title1,LLAMA2_title1_without_trim,LLAMA2_without_finetunning,LLAMA2_without_finetunning_without_trim
262,"Encouraged by his success with general relativity, Einstein sought an even more ambitious geometrical theory that would treat gravitation and electromagnetism as aspects of a single entity. In 1950, he described his unified field theory in a Scientific American article titled ""On the Generalized Theory of Gravitation"".[293] His attempt to find the most fundamental laws of nature won him praise but not success: a particularly conspicuous blemish of his model was that it did not accommodate the strong and weak nuclear forces, neither of which was well understood until many years after his death. Although most researchers now believe that Einstein's approach to unifying physics was mistaken, his goal of a theory of everything is one to which his successors still aspire.[294]
",Unified_field_theory,,,,
263,"Einstein conducted other investigations that were unsuccessful and abandoned. These pertain to force, superconductivity, and other research.
",Other_investigations,,,,
264,"In addition to longtime collaborators Leopold Infeld, Nathan Rosen, Peter Bergmann and others, Einstein also had some one-shot collaborations with various scientists.
",Collaboration_with_other_scientists,,,,
265,"In 1908, Owen Willans Richardson predicted that a change in the magnetic moment of a free body will cause this body to rotate. This effect is a consequence of the conservation of angular momentum and is strong enough to be observable in ferromagnetic materials.[295] Einstein and Wander Johannes de Haas published two papers in 1915 claiming the first experimental observation of the effect.[296][297] Measurements of this kind demonstrate that the phenomenon of magnetization is caused by the alignment (polarization) of the angular momenta of the electrons in the material along the axis of magnetization. These measurements also allow the separation of the two contributions to the magnetization: that which is associated with the spin and with the orbital motion of the electrons.
",Einstein–de_Haas_experiment,,,,
266,"In 1926, Einstein and his former student Leó Szilárd co-invented (and in 1930, patented) the Einstein refrigerator. This absorption refrigerator was then revolutionary for having no moving parts and using only heat as an input.[298] On 11 November 1930, U.S. Patent 1,781,541 was awarded to Einstein and Leó Szilárd for the refrigerator. Their invention was not immediately put into commercial production, but the most promising of their patents were acquired by the Swedish company Electrolux.[note 6]
Einstein also invented an electromagnetic pump,[300] sound reproduction device,[301] and several other household devices.[302]
",Einstein_as_an_inventor,,,,
267,"While traveling, Einstein wrote daily to his wife Elsa and adopted stepdaughters Margot and Ilse. The letters were included in the papers bequeathed to the Hebrew University of Jerusalem. Margot Einstein permitted the personal letters to be made available to the public, but requested that it not be done until twenty years after her death (she died in 1986[303]). Barbara Wolff, of the Hebrew University's Albert Einstein Archives, told the BBC that there are about 3,500 pages of private correspondence written between 1912 and 1955.[304]
Einstein's right of publicity was litigated in 2015 in a federal district court in California. Although the court initially held that the right had expired,[305] that ruling was immediately appealed, and the decision was later vacated in its entirety. The underlying claims between the parties in that lawsuit were ultimately settled. The right is enforceable, and the Hebrew University of Jerusalem is the exclusive representative of that right.[306] Corbis, successor to The Roger Richman Agency, licenses the use of his name and associated imagery, as agent for the university.[307]
Mount Einstein in the Chugach Mountains of Alaska was named in 1955.
Mount Einstein in New Zealand's Paparoa Range was named after him in 1970 by the Department of Scientific and Industrial Research.[308]
",Non-scientific_legacy,,,,
268,"Einstein became one of the most famous scientific celebrities after the confirmation of his general theory of relativity in 1919.[309][310][311] Although most of the public had little understanding of his work, he was widely recognized and admired. In the period before World War II, The New Yorker published a vignette in their ""The Talk of the Town"" feature saying that Einstein was so well known in America that he would be stopped on the street by people wanting him to explain ""that theory"". Eventually he came to cope with unwanted enquirers by pretending to be someone else: ""Pardon me, sorry! Always I am mistaken for Professor Einstein.""[312]
Einstein has been the subject of or inspiration for many novels, films, plays, and works of music.[313] He is a favorite model for depictions of absent-minded professors; his expressive face and distinctive hairstyle have been widely copied and exaggerated. Time magazine's Frederic Golden wrote that Einstein was ""a cartoonist's dream come true"".[314]
Many popular quotations are often misattributed to him.[315][316] For example, it is often claimed, erroneously, that he said, ""The definition of insanity is doing the same thing over and over and expecting different results.""[315]
",In_popular_culture,,,,
269,"Einstein received numerous awards and honors, and in 1922, he was awarded the 1921 Nobel Prize in Physics ""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"". None of the nominations in 1921 met the criteria set by Alfred Nobel, so the 1921 prize was carried forward and awarded to Einstein in 1922.[8]
Einsteinium, one of the synthetic elements in the periodic table, was named in his honor.[317]
",Awards_and_honors,,,,
270,"Maria Skłodowska was born in Warsaw, in Congress Poland in the Russian Empire, on 7 November 1867, the fifth and youngest child of well-known teachers Bronisława, née Boguska, and Władysław Skłodowski.[14] The elder siblings of Maria (nicknamed Mania) were Zofia (born 1862, nicknamed Zosia), Józef [pl] (born 1863, nicknamed Józio), Bronisława (born 1865, nicknamed Bronia) and Helena (born 1866, nicknamed Hela).[15][16]
On both the paternal and maternal sides, the family had lost their property and fortunes through patriotic involvements in Polish national uprisings aimed at restoring Poland's independence (the most recent had been the January Uprising of 1863–65).[17] This condemned the subsequent generation, including Maria and her elder siblings, to a difficult struggle to get ahead in life.[17] Maria's paternal grandfather, Józef Skłodowski [pl], had been principal of the Lublin primary school attended by Bolesław Prus,[18] who became a leading figure in Polish literature.[19]
Władysław Skłodowski taught mathematics and physics, subjects that Maria was to pursue, and was also director of two Warsaw gymnasia (secondary schools) for boys. After Russian authorities eliminated laboratory instruction from the Polish schools, he brought much of the laboratory equipment home and instructed his children in its use.[15] He was eventually fired by his Russian supervisors for pro-Polish sentiments and forced to take lower-paying posts; the family also lost money on a bad investment and eventually chose to supplement their income by lodging boys in the house.[15] Maria's mother Bronisława operated a prestigious Warsaw boarding school for girls; she resigned from the position after Maria was born.[15] She died of tuberculosis in May 1878, when Maria was ten years old.[15] Less than three years earlier, Maria's oldest sibling, Zofia, had died of typhus contracted from a boarder.[15] Maria's father was an atheist, her mother a devout Catholic.[20] The deaths of Maria's mother and sister caused her to give up Catholicism and become agnostic.[21]
When she was ten years old, Maria began attending the boarding school of J. Sikorska; next, she attended a gymnasium for girls, from which she graduated on 12 June 1883 with a gold medal.[14] After a collapse, possibly due to depression,[15] she spent the following year in the countryside with relatives of her father, and the next year with her father in Warsaw, where she did some tutoring.[14] Unable to enroll in a regular institution of higher education because she was a woman, she and her sister Bronisława became involved with the clandestine Flying University (sometimes translated as Floating University), a Polish patriotic institution of higher learning that admitted women students.[14][15]
Maria made an agreement with her sister, Bronisława, that she would give her financial assistance during Bronisława's medical studies in Paris, in exchange for similar assistance two years later.[14][22] In connection with this, Maria took a position first as a home tutor in Warsaw, then for two years as a governess in Szczuki with a landed family, the Żorawskis, who were relatives of her father.[14][22] While working for the latter family, she fell in love with their son, Kazimierz Żorawski, a future eminent mathematician.[22] His parents rejected the idea of his marrying the penniless relative, and Kazimierz was unable to oppose them.[22] Maria's loss of the relationship with Żorawski was tragic for both. He soon earned a doctorate and pursued an academic career as a mathematician, becoming a professor and rector of Kraków University. Still, as an old man and a mathematics professor at the Warsaw Polytechnic, he would sit contemplatively before the statue of Maria Skłodowska that had been erected in 1935 before the Radium Institute, which she had founded in 1932.[17][23]
At the beginning of 1890, Bronisława—who a few months earlier had married Kazimierz Dłuski, a Polish physician and social and political activist—invited Maria to join them in Paris. Maria declined because she could not afford the university tuition; it would take her a year and a half longer to gather the necessary funds.[14] She was helped by her father, who was able to secure a more lucrative position again.[22] All that time she continued to educate herself, reading books, exchanging letters, and being tutored herself.[22] In early 1889 she returned home to her father in Warsaw.[14] She continued working as a governess and remained there until late 1891.[22] She tutored, studied at the Flying University, and began her practical scientific training (1890–91) in a chemical laboratory at the Museum of Industry and Agriculture at Krakowskie Przedmieście 66, near Warsaw's Old Town.[14][15][22] The laboratory was run by her cousin Józef Boguski, who had been an assistant in Saint Petersburg to the Russian chemist Dmitri Mendeleev.[14][22][24]
",Early_years,,,,
271,"In late 1891, she left Poland for France.[25] In Paris, Maria (or Marie, as she would be known in France) briefly found shelter with her sister and brother-in-law before renting a garret closer to the university, in the Latin Quarter, and proceeding with her studies of physics, chemistry, and mathematics at the University of Paris, where she enrolled in late 1891.[26][27] She subsisted on her meagre resources, keeping herself warm during cold winters by wearing all the clothes she had. She focused so hard on her studies that she sometimes forgot to eat.[27] Skłodowska studied during the day and tutored evenings, barely earning her keep. In 1893, she was awarded a degree in physics and began work in an industrial laboratory of Gabriel Lippmann. Meanwhile, she continued studying at the University of Paris and with the aid of a fellowship she was able to earn a second degree in 1894.[14][27][b]
Skłodowska had begun her scientific career in Paris with an investigation of the magnetic properties of various steels, commissioned by the Society for the Encouragement of National Industry.[27] That same year, Pierre Curie entered her life: it was their mutual interest in natural sciences that drew them together.[28] Pierre Curie was an instructor at The City of Paris Industrial Physics and Chemistry Higher Educational Institution (ESPCI Paris).[14] They were introduced by Polish physicist Józef Wierusz-Kowalski, who had learned that she was looking for a larger laboratory space, something that Wierusz-Kowalski thought Pierre could access.[14][27] Though Curie did not have a large laboratory, he was able to find some space for Skłodowska where she was able to begin work.[27]
Their mutual passion for science brought them increasingly closer, and they began to develop feelings for one another.[14][27] Eventually, Pierre proposed marriage, but at first Skłodowska did not accept as she was still planning to go back to her native country. Curie, however, declared that he was ready to move with her to Poland, even if it meant being reduced to teaching French.[14] Meanwhile, for the 1894 summer break, Skłodowska returned to Warsaw, where she visited her family.[27] She was still labouring under the illusion that she would be able to work in her chosen field in Poland, but she was denied a place at Kraków University because of sexism in academia.[17] A letter from Pierre convinced her to return to Paris to pursue a Ph.D.[27] At Skłodowska's insistence, Curie had written up his research on magnetism and received his own doctorate in March 1895; he was also promoted to professor at the School.[27] A contemporary quip would call Skłodowska ""Pierre's biggest discovery"".[17]
On 26 July 1895, they were married in Sceaux;[29] neither wanted a religious service.[14][27] Curie's dark blue outfit, worn instead of a bridal gown, would serve her for many years as a laboratory outfit.[27] They shared two pastimes: long bicycle trips and journeys abroad, which brought them even closer. In Pierre, Marie had found a new love, a partner, and a scientific collaborator on whom she could depend.[17]
",Life_in_Paris,,,,
272,"In 1895, Wilhelm Röntgen discovered the existence of X-rays, though the mechanism behind their production was not yet understood.[30] In 1896, Henri Becquerel discovered that uranium salts emitted rays that resembled X-rays in their penetrating power.[30] He demonstrated that this radiation, unlike phosphorescence, did not depend on an external source of energy but seemed to arise spontaneously from uranium itself. Influenced by these two important discoveries, Curie decided to look into uranium rays as a possible field of research for a thesis.[14][30]
She used an innovative technique to investigate samples. Fifteen years earlier, her husband and his brother had developed a version of the electrometer, a sensitive device for measuring electric charge.[30] Using her husband's electrometer, she discovered that uranium rays caused the air around a sample to conduct electricity. Using this technique, her first result was the finding that the activity of the uranium compounds depended only on the quantity of uranium present.[30] She hypothesized that the radiation was not the outcome of some interaction of molecules but must come from the atom itself.[30] This hypothesis was an important step in disproving the assumption that atoms were indivisible.[30][31]
In 1897, her daughter Irène was born. To support her family, Curie began teaching at the École Normale Supérieure.[25] The Curies did not have a dedicated laboratory; most of their research was carried out in a converted shed next to ESPCI.[25] The shed, formerly a medical school dissecting room, was poorly ventilated and not even waterproof.[32] They were unaware of the deleterious effects of radiation exposure attendant on their continued unprotected work with radioactive substances. ESPCI did not sponsor her research, but she would receive subsidies from metallurgical and mining companies and from various organizations and governments.[25][32][33]
Curie's systematic studies included two uranium minerals, pitchblende and torbernite (also known as chalcolite).[32] Her electrometer showed that pitchblende was four times as active as uranium itself, and chalcolite twice as active. She concluded that, if her earlier results relating the quantity of uranium to its activity were correct, then these two minerals must contain small quantities of another substance that was far more active than uranium.[32][34] She began a systematic search for additional substances that emit radiation, and by 1898 she discovered that the element thorium was also radioactive.[30] Pierre Curie was increasingly intrigued by her work. By mid-1898 he was so invested in it that he decided to drop his work on crystals and to join her.[25][32]
The [research] idea [writes Reid] was her own; no one helped her formulate it, and although she took it to her husband for his opinion she clearly established her ownership of it. She later recorded the fact twice in her biography of her husband to ensure there was no chance whatever of any ambiguity. It [is] likely that already at this early stage of her career [she] realized that... many scientists would find it difficult to believe that a woman could be capable of the original work in which she was involved.[35]She was acutely aware of the importance of promptly publishing her discoveries and thus establishing her priority. Had not Becquerel, two years earlier, presented his discovery to the Académie des Sciences the day after he made it, credit for the discovery of radioactivity (and even a Nobel Prize), would instead have gone to Silvanus Thompson. Curie chose the same rapid means of publication. Her paper, giving a brief and simple account of her work, was presented for her to the Académie on 12 April 1898 by her former professor, Gabriel Lippmann.[36] Even so, just as Thompson had been beaten by Becquerel, so Curie was beaten in the race to tell of her discovery that thorium gives off rays in the same way as uranium; two months earlier, Gerhard Carl Schmidt had published his own finding in Berlin.[37]
At that time, no one else in the world of physics had noticed what Curie recorded in a sentence of her paper, describing how much greater were the activities of pitchblende and chalcolite than uranium itself: ""The fact is very remarkable, and leads to the belief that these minerals may contain an element which is much more active than uranium."" She later would recall how she felt ""a passionate desire to verify this hypothesis as rapidly as possible.""[37] On 14 April 1898, the Curies optimistically weighed out a 100-gram sample of pitchblende and ground it with a pestle and mortar. They did not realize at the time that what they were searching for was present in such minute quantities that they would eventually have to process tonnes of the ore.[37]
In July 1898, Curie and her husband published a joint paper announcing the existence of an element they named ""polonium"", in honour of her native Poland, which would for another twenty years remain partitioned among three empires (Russian, Austrian, and Prussian).[14] On 26 December 1898, the Curies announced the existence of a second element, which they named ""radium"", from the Latin word for ""ray"".[25][32][38] In the course of their research, they also coined the word ""radioactivity"".[14]
To prove their discoveries beyond any doubt, the Curies sought to isolate polonium and radium in pure form.[32] Pitchblende is a complex mineral; the chemical separation of its constituents was an arduous task. The discovery of polonium had been relatively easy; chemically it resembles the element bismuth, and polonium was the only bismuth-like substance in the ore.[32] Radium, however, was more elusive; it is closely related chemically to barium, and pitchblende contains both elements. By 1898 the Curies had obtained traces of radium, but appreciable quantities, uncontaminated with barium, were still beyond reach.[39] The Curies undertook the arduous task of separating out radium salt by differential crystallization. From a tonne of pitchblende, one-tenth of a gram of radium chloride was separated in 1902. In 1910, she isolated pure radium metal.[32][40] She never succeeded in isolating polonium, which has a half-life of only 138 days.[32]
Between 1898 and 1902, the Curies published, jointly or separately, a total of 32 scientific papers, including one that announced that, when exposed to radium, diseased, tumour-forming cells were destroyed faster than healthy cells.[41]
In 1900, Curie became the first woman faculty member at the École Normale Supérieure and her husband joined the faculty of the University of Paris.[42][43] In 1902 she visited Poland on the occasion of her father's death.[25]
In June 1903, supervised by Gabriel Lippmann, Curie was awarded her doctorate from the University of Paris.[25][44] That month the couple were invited to the Royal Institution in London to give a speech on radioactivity; being a woman, she was prevented from speaking, and Pierre Curie alone was allowed to.[45] Meanwhile, a new industry began developing, based on radium.[42] The Curies did not patent their discovery and benefited little from this increasingly profitable business.[32][42]
",New_elements,,,,
273,"In December 1903 the Royal Swedish Academy of Sciences awarded Pierre Curie, Marie Curie, and Henri Becquerel the Nobel Prize in Physics, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel.""[25] At first the committee had intended to honour only Pierre Curie and Henri Becquerel, but a committee member and advocate for women scientists, Swedish mathematician Magnus Gösta Mittag-Leffler, alerted Pierre to the situation, and after his complaint, Marie's name was added to the nomination.[46] Marie Curie was the first woman to be awarded a Nobel Prize.[25]
Curie and her husband declined to go to Stockholm to receive the prize in person; they were too busy with their work, and Pierre Curie, who disliked public ceremonies, was feeling increasingly ill.[45][46] As Nobel laureates were required to deliver a lecture, the Curies finally undertook the trip in 1905.[46] The award money allowed the Curies to hire their first laboratory assistant.[46] Following the award of the Nobel Prize, and galvanized by an offer from the University of Geneva, which offered Pierre Curie a position, the University of Paris gave him a professorship and the chair of physics, although the Curies still did not have a proper laboratory.[25][42][43] Upon Pierre Curie's complaint, the University of Paris relented and agreed to furnish a new laboratory, but it would not be ready until 1906.[46]
In December 1904, Curie gave birth to their second daughter, Ève.[46] She hired Polish governesses to teach her daughters her native language, and sent or took them on visits to Poland.[10]
On 19 April 1906, Pierre Curie was killed in a road accident. Walking across the Rue Dauphine in heavy rain, he was struck by a horse-drawn vehicle and fell under its wheels, fracturing his skull and killing him instantly.[25][47] Curie was devastated by her husband's death.[48] On 13 May 1906 the physics department of the University of Paris decided to retain the chair that had been created for her late husband and offer it to Marie. She accepted it, hoping to create a world-class laboratory as a tribute to her husband Pierre.[48][49] She was the first woman to become a professor at the University of Paris.[25]
Curie's quest to create a new laboratory did not end with the University of Paris, however. In her later years, she headed the Radium Institute (Institut du radium, now Curie Institute, Institut Curie), a radioactivity laboratory created for her by the Pasteur Institute and the University of Paris.[49] The initiative for creating the Radium Institute had come in 1909 from Pierre Paul Émile Roux, director of the Pasteur Institute, who had been disappointed that the University of Paris was not giving Curie a proper laboratory and had suggested that she move to the Pasteur Institute.[25][50] Only then, with the threat of Curie leaving, did the University of Paris relent, and eventually the Curie Pavilion became a joint initiative of the University of Paris and the Pasteur Institute.[50]
In 1910 Curie succeeded in isolating radium; she also defined an international standard for radioactive emissions that was eventually named for her and Pierre: the curie.[49] Nevertheless, in 1911 the French Academy of Sciences failed, by one[25] or two votes,[51] to elect her to membership in the academy. Elected instead was Édouard Branly, an inventor who had helped Guglielmo Marconi develop the wireless telegraph.[52] It was only over half a century later, in 1962, that a doctoral student of Curie's, Marguerite Perey, became the first woman elected to membership in the academy.
Despite Curie's fame as a scientist working for France, the public's attitude tended toward xenophobia—the same that had led to the Dreyfus affair—which also fuelled false speculation that Curie was Jewish.[25][51] During the French Academy of Sciences elections, she was vilified by the right-wing press as a foreigner and atheist.[51] Her daughter later remarked on the French press's hypocrisy in portraying Curie as an unworthy foreigner when she was nominated for a French honour, but portraying her as a French heroine when she received foreign honours such as her Nobel Prizes.[25]
In 1911 it was revealed that Curie was involved in a year-long affair with physicist Paul Langevin, a former student of Pierre Curie's,[53] a married man who was estranged from his wife.[51] This resulted in a press scandal that was exploited by her academic opponents. Curie (then in her mid-40s) was five years older than Langevin and was misrepresented in the tabloids as a foreign Jewish home-wrecker.[54] When the scandal broke, she was away at a conference in Belgium; on her return, she found an angry mob in front of her house and had to seek refuge, with her daughters, in the home of her friend, Camille Marbo.[51]
International recognition for her work had been growing to new heights, and the Royal Swedish Academy of Sciences, overcoming opposition prompted by the Langevin scandal, honoured her a second time, with the 1911 Nobel Prize in Chemistry.[17] This award was ""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element.""[55] Because of the negative publicity due to her affair with Langevin, the chair of the Nobel committee, Svante Arrhenius, attempted to prevent her attendance at the official ceremony for her Nobel Prize in Chemistry, citing her questionable moral standing. Curie replied that she would be present at the ceremony, because ""the prize has been given to her for her discovery of polonium and radium"" and that ""there is no relation between her scientific work and the facts of her private life"".
She was the first person to win or share two Nobel Prizes, and remains alone with Linus Pauling as Nobel laureates in two fields each. A delegation of celebrated Polish men of learning, headed by novelist Henryk Sienkiewicz, encouraged her to return to Poland and continue her research in her native country.[17] Curie's second Nobel Prize enabled her to persuade the French government to support the Radium Institute, built in 1914, where research was conducted in chemistry, physics, and medicine.[50] A month after accepting her 1911 Nobel Prize, she was hospitalised with depression and a kidney ailment. For most of 1912, she avoided public life but did spend time in England with her friend and fellow physicist, Hertha Ayrton. She returned to her laboratory only in December, after a break of about 14 months.[55]
In 1912 the Warsaw Scientific Society offered her the directorship of a new laboratory in Warsaw but she declined, focusing on the developing Radium Institute to be completed in August 1914, and on a new street named Rue Pierre-Curie (today rue Pierre-et-Marie-Curie).[50][55] She was appointed director of the Curie Laboratory in the Radium Institute of the University of Paris, founded in 1914.[56] She visited Poland in 1913 and was welcomed in Warsaw but the visit was mostly ignored by the Russian authorities. The institute's development was interrupted by the coming war, as most researchers were drafted into the French Army, and it fully resumed its activities in 1919.[50][55][57]
",Nobel_Prizes,,,,
274,"During World War I, Curie recognised that wounded soldiers were best served if operated upon as soon as possible.[58] She saw a need for field radiological centres near the front lines to assist battlefield surgeons,[57] including to obviate amputations when in fact limbs could be saved.[59][60] After a quick study of radiology, anatomy, and automotive mechanics she procured X-ray equipment, vehicles, auxiliary generators, and developed mobile radiography units, which came to be popularly known as petites Curies (""Little Curies"").[57] She became the director of the Red Cross Radiology Service and set up France's first military radiology centre, operational by late 1914.[57] Assisted at first by a military doctor and her 17-year-old daughter Irène, Curie directed the installation of 20 mobile radiological vehicles and another 200 radiological units at field hospitals in the first year of the war.[50][57] Later, she began training other women as aides.[61]
In 1915, Curie produced hollow needles containing ""radium emanation"", a colourless, radioactive gas given off by radium, later identified as radon, to be used for sterilizing infected tissue. She provided the radium from her own one-gram supply.[61] It is estimated that over a million wounded soldiers were treated with her X-ray units.[21][50] Busy with this work, she carried out very little scientific research during that period.[50] In spite of all her humanitarian contributions to the French war effort, Curie never received any formal recognition of it from the French government.[57]

Also, promptly after the war started, she attempted to donate her gold Nobel Prize medals to the war effort but the French National Bank refused to accept them.[61]  She did buy war bonds, using her Nobel Prize money.[61] She said:I am going to give up the little gold I possess. I shall add to this the scientific medals, which are quite useless to me. There is something else: by sheer laziness I had allowed the money for my second Nobel Prize to remain in Stockholm in Swedish crowns. This is the chief part of what we possess. I should like to bring it back here and invest it in war loans. The state needs it. Only, I have no illusions: this money will probably be lost.[58] She was also an active member in committees of Polonia in France dedicated to the Polish cause.[62] After the war, she summarized her wartime experiences in a book, Radiology in War (1919).[61]
",World_War_I,,,,
275,"In 1920, for the 25th anniversary of the discovery of radium, the French government established a stipend for her; its previous recipient was Louis Pasteur (1822–95).[50] In 1921, she was welcomed triumphantly when she toured the United States to raise funds for research on radium. Mrs. William Brown Meloney, after interviewing Curie, created a Marie Curie Radium Fund and raised money to buy radium, publicising her trip.[50][63][c]
In 1921, U.S. President Warren G. Harding received her at the White House to present her with the 1 gram of radium collected in the United States, and the First Lady praised her as an example of a professional achiever who was also a supportive wife.[5][65] Before the meeting, recognising her growing fame abroad, and embarrassed by the fact that she had no French official distinctions to wear in public, the French government offered her a Legion of Honour award, but she refused.[65][66] In 1922 she became a fellow of the French Academy of Medicine.[50] She also travelled to other countries, appearing publicly and giving lectures in Belgium, Brazil, Spain, and Czechoslovakia.[67]
Led by Curie, the Institute produced four more Nobel Prize winners, including her daughter Irène Joliot-Curie and her son-in-law, Frédéric Joliot-Curie.[68] Eventually it became one of the world's four major radioactivity-research laboratories, the others being the Cavendish Laboratory, with Ernest Rutherford; the Institute for Radium Research, Vienna, with Stefan Meyer; and the Kaiser Wilhelm Institute for Chemistry, with Otto Hahn and Lise Meitner.[68][69]
In August 1922 Marie Curie became a member of the League of Nations' newly created International Committee on Intellectual Cooperation.[70][13] She sat on the committee until 1934 and contributed to League of Nations' scientific coordination with other prominent researchers such as Albert Einstein, Hendrik Lorentz, and Henri Bergson.[71] In 1923 she wrote a biography of her late husband, titled Pierre Curie.[72] In 1925 she visited Poland to participate in a ceremony laying the foundations for Warsaw's Radium Institute.[50] Her second American tour, in 1929, succeeded in equipping the Warsaw Radium Institute with radium; the Institute opened in 1932, with her sister Bronisława its director.[50][65] These distractions from her scientific labours, and the attendant publicity, caused her much discomfort but provided resources for her work.[65] In 1930 she was elected to the International Atomic Weights Committee, on which she served until her death.[73] In 1931, Curie was awarded the Cameron Prize for Therapeutics of the University of Edinburgh.[74]
",Postwar_years,,,,
276,"Curie visited Poland for the last time in early 1934.[17][75] A few months later, on 4 July 1934, she died aged 66 at the Sancellemoz sanatorium in Passy, Haute-Savoie, from aplastic anemia believed to have been contracted from her long-term exposure to radiation, causing damage to her bone marrow.[50]
The damaging effects of ionising radiation were not known at the time of her work, which had been carried out without the safety measures later developed.[75] She had carried test tubes containing radioactive isotopes in her pocket,[76] and she stored them in her desk drawer, remarking on the faint light that the substances gave off in the dark.[77] Curie was also exposed to X-rays from unshielded equipment while serving as a radiologist in field hospitals during the First World War.[61]  When Curie's body was exhumed in 1995, the French Office de Protection contre les Rayonnements Ionisants (ORPI) ""concluded that she could not have been exposed to lethal levels of radium while she was alive"". They pointed out that radium poses a risk only if it is ingested, and speculated that her illness was more likely to have been due to her use of radiography during the First World War.[78]
She was interred at the cemetery in Sceaux, alongside her husband Pierre.[50] Sixty years later, in 1995, in honour of their achievements, the remains of both were transferred to the Paris Panthéon. Their remains were sealed in a lead lining because of the radioactivity.[79] She became the second woman to be interred at the Panthéon (after Sophie Berthelot) and the first woman to be honoured with interment in the Panthéon on her own merits.[13]
Because of their levels of radioactive contamination, her papers from the 1890s are considered too dangerous to handle.[80] Even her cookbooks are highly radioactive.[81] Her papers are kept in lead-lined boxes, and those who wish to consult them must wear protective clothing.[81] In her last year, she worked on a book, Radioactivity, which was published posthumously in 1935.[75]
",Death,,,,
277,"
The physical and societal aspects of the Curies' work contributed to shaping the world of the twentieth and twenty-first centuries.[82] Cornell University professor L. Pearce Williams observes:The result of the Curies' work was epoch-making. Radium's radioactivity was so great that it could not be ignored. It seemed to contradict the principle of the conservation of energy and therefore forced a reconsideration of the foundations of physics. On the experimental level the discovery of radium provided men like Ernest Rutherford with sources of radioactivity with which they could probe the structure of the atom. As a result of Rutherford's experiments with alpha radiation, the nuclear atom was first postulated. In medicine, the radioactivity of radium appeared to offer a means by which cancer could be successfully attacked.[40]If Curie's work helped overturn established ideas in physics and chemistry, it has had an equally profound effect in the societal sphere. To attain her scientific achievements, she had to overcome barriers, in both her native and her adoptive country, that were placed in her way because she was a woman. This aspect of her life and career is highlighted in Françoise Giroud's Marie Curie: A Life, which emphasizes Curie's role as a feminist precursor.[17]
She was known for her honesty and moderate lifestyle.[25][82] Having received a small scholarship in 1893, she returned it in 1897 as soon as she began earning her keep.[14][33] She gave much of her first Nobel Prize money to friends, family, students, and research associates.[17] In an unusual decision, Curie intentionally refrained from patenting the radium-isolation process so that the scientific community could do research unhindered.[83] [d] She insisted that monetary gifts and awards be given to the scientific institutions she was affiliated with rather than to her.[82] She and her husband often refused awards and medals.[25] Albert Einstein reportedly remarked that she was probably the only person who could not be corrupted by fame.[17]
",Legacy,,,,
278,"As one of the most famous scientists in history, Marie Curie has become an icon in the scientific world and has received tributes from across the globe, even in the realm of pop culture.[84] She  also received many honorary degrees from universities across the world.[65]
Marie Curie was the first woman to win a Nobel Prize, the first person to win two Nobel Prizes, the only woman to win in two fields, and the only person to win in multiple sciences.[85] Awards that she received include:
Entities that have been named after Marie Curie include:
Numerous biographies are devoted to her, including:
Marie Curie has been the subject of a number of films:
Curie is the subject of the 2013 play, False Assumptions, by Lawrence Aronovitch, in which the ghosts of three other women scientists observe events in her life.[100] Curie has also been portrayed by Susan Marie Frontczak in her play, Manya: The Living History of Marie Curie, a one-woman show which by 2014 had been performed in 30 U.S. states and nine countries.[101]
",Commemoration_and_cultural_depictions,,,,
279,"Hawking was born on 8 January 1942[25][26] in Oxford to Frank and Isobel Eileen Hawking (née Walker).[27][28] Hawking's mother was born into a family of doctors in Glasgow, Scotland.[29][30] His wealthy paternal great-grandfather, from Yorkshire, over-extended himself buying farm land and then went bankrupt in the great agricultural depression during the early 20th century.[30] His paternal great-grandmother saved the family from financial ruin by opening a school in their home.[30] Despite their families' financial constraints, both parents attended the University of Oxford, where Frank read medicine and Isobel read Philosophy, Politics and Economics.[28] Isobel worked as a secretary for a medical research institute, and Frank was a medical researcher.[28][31] Hawking had two younger sisters, Philippa and Mary, and an adopted brother, Edward Frank David (1955–2003).[32]
In 1950, when Hawking's father became head of the division of parasitology at the National Institute for Medical Research, the family moved to St Albans, Hertfordshire.[33][34] In St Albans, the family was considered highly intelligent and somewhat eccentric;[33][35] meals were often spent with each person silently reading a book.[33] They lived a frugal existence in a large, cluttered, and poorly maintained house and travelled in a converted London taxicab.[36][37] During one of Hawking's father's frequent absences working in Africa,[38] the rest of the family spent four months in Mallorca visiting his mother's friend Beryl and her husband, the poet Robert Graves.[39]
",Family,,,,
